name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Logitech Wireless Touch k400,142.45,Slim,None,None,True,Wireless,White,Compact,50.0
HP Wireless Classic Desktop,39.99,Standard,None,None,False,Wireless,Black,Office/Budget,50.0
Cougar Vantar,58.87,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Ducky Shine 7 RGB,158.24,Standard,Cherry MX Brown,RGB,False,Wired,Gray,Mid-Range Gaming,88.0
Corsair Vengeance K95,108.52,Gaming,Cherry MX Red,Blue,False,Wired,Black,Mid-Range Gaming,79.0
Cobra Polygon,72.79,Gaming,None,None,False,Wired,Black / Blue,Mid-Range Gaming,38.0
Logitech Corded Keyboard K280e,46.89,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Corsair K65 RGB,119.27,Gaming,Cherry MX Red,RGB,True,Wired,Black,Compact,88.0
G.Skill RIPJAWS KM780 RGB,165.2,Gaming,Cherry MX Brown,RGB,False,Wired,Black,Premium Gaming,88.0
Trust GXT 280,194.59,Gaming,None,Multicolor,False,Wired,Black,Premium Gaming,59.0
Ducky Ducky One 2,104.91,Gaming,Cherry MX Red,Blue,True,Wired,White,Compact,79.0
AUKEY KM-G12,48.55,Gaming,Outemu Blue,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Ducky Mecha Mini v2,118.88,Mini,Cherry MX Brown,RGB,True,Wired,Black,Compact,88.0
Logitech K375s,34.99,Standard,None,None,False,Bluetooth Wireless,Black,Office/Budget,50.0
Rottay TH-306,39.99,Gaming,Outemu Brown,RGB,False,Wired,White / Black,Mid-Range Gaming,68.0
